attributeName,code,definition
site_code,DBG,"core region: Desert Botanical Garden"
site_code,EME,"west region: Estrella Mountain Regional Park east"
site_code,EMW,"west region: Estrella Mountain Regional Park west"
site_code,LDP,"east region: Lost Dutchman State Park"
site_code,MCN,"east region: McDowell Mountain Regional north"
site_code,MCS,"east region: McDowell Mountain Regional south"
site_code,MVP,"core region: North Mountain"
site_code,PWP,"core region: Piestewa Peak"
site_code,SME,"core region: South Mountain Park east"
site_code,SMW,"core region: South Mountain Park west"
site_code,SNE,"west region: Sonoran Desert National Monument east"
site_code,SNW,"west region: Sonoran Desert National Monument west"
site_code,SRR,"east region: Salt River Recreation Area (Tonto NF)"
site_code,UMP,"east region: Usery Mountain Regional Park"
site_code,WTM,"west region: White Tanks Mountain Regional Park"
treatment_code,C1,control plot 1
tissue_type,Larrea tridentata,Larrea tridentata leaf tissue
tissue_type,Pectocarya spp.,Pectocarya spp. whole-plant tissue
instrument,ICP-MS,Inductively Coupled Plasma Mass Spectrometer
instrument,ICP-OES,Inductively Coupled Plasma Optical Emission Spectrometer
